H2	1	38	2.92	0	0.79	280
H	0	145	2.05	0	0	0
O	0	80	2.75	0	0	0
O2	1	107.4	3.458	0	1.6	3.8
OH	1	80	2.75	0	0	0
H2O	2	572.4	2.605	1.844	0	4
HO2	2	107.4	3.458	0	0	1
H2O2	2	107.4	3.458	0	0	3.8
C	0	71.4	3.298	0	0	0
CH	1	80	2.75	0	0	0
CH2	1	144	3.8	0	0	0
CH2(S)	1	144	3.8	0	0	0
CH3	1	144	3.8	0	0	0
CH4	2	141.4	3.746	0	2.6	13
CO	1	98.1	3.65	0	1.95	1.8
CO2	1	244	3.763	0	2.65	2.1
HCO	2	498	3.59	0	0	0
CH2O	2	498	3.59	0	0	2
CH2OH	2	417	3.69	1.7	0	2
CH3O	2	417	3.69	1.7	0	2
CH3OH	2	481.8	3.626	0	0	1
C2H	1	265.3	3.721	0	0	2.5
C2H2	1	265.3	3.721	0	0	2.5
C2H3	2	265.3	3.721	0	0	1
C2H4	2	238.4	3.496	0	0	1.5
C2H5	2	247.5	4.35	0	0	1.5
C2H6	2	247.5	4.35	0	0	1.5
HCCO	2	150	2.5	0	0	1
CH2CO	2	436	3.97	0	0	2
HCCOH	2	436	3.97	0	0	2
AR	0	136.5	3.33	0	0	0
N2	1	97.53	3.621	0	1.76	4
HE	0	10.2	2.576	0	0	0
CH2CHO	2	436	3.97	0	0	2
C3H2	2	209	4.1	0	0	1
C3H3	1	324.8	4.29	0	0	1
C3H4-P	1	324.8	4.29	0	0	1
C3H4-A	1	324.8	4.29	0	0	1
CC3H4	1	252	4.76	0	0	1
C4H2	1	357	4.72	0	0	1
H2C4O	2	357	5.18	0	0	1
C4H3-N	2	357	5.18	0	0	1
C4H3-I	2	357	5.18	0	0	1
C4H4	2	357	5.18	0	0	1
C4H5-N	2	357	5.18	0	0	1
C4H5-I	2	357	5.18	0	0	1
C4H6	2	357	4.72	0	0	1
C4H612	2	357	5.18	0	0	1
C4H8-1	2	355	4.65	0	0	1
C4H71-4	2	357.1	4.72	0	0	1
C6H2	1	408	5.2	0	0	1
C6H3	2	357	5.18	0	0	1
L-C6H4	2	412.3	5.349	0	0	1
C-C6H4	2	464.8	5.29	0	10.32	0
C6H6	2	468.5	5.23	0	10.3	1
C6H5	2	412.3	5.349	0	0	1
C6H5O	2	450	5.5	0	0	1
C6H5OH	2	450	5.5	0	0	1
C5H6	1	408	5.2	0	0	1
C5H5	1	408	5.2	0	0	1
C5H5O	2	450	5.5	0	0	1
C5H4OH	2	450	5.5	0	0	1
C5H4O	2	450	5.5	0	0	1
C3H8	2	303.4	4.81	0	0	1
NC3H7	2	303.4	4.81	0	0	1
IC3H7	2	303.4	4.81	0	0	1
C3H6	2	307.8	4.14	0	0	1
C3H5-A	2	316	4.22	0	0	1
C3H5-T	2	316	4.22	0	0	1
CH3CO	2	436	3.97	0	0	2
CH3CHO	2	436	3.97	0	0	2
C2H3CHO	2	428.8	4.958	2.9	0	1
C3H5O	2	411	4.82	0	0	1
nC7H16	2	459.6	6.253	0	0	1
C7H15-1	2	459.6	6.253	0	0	1
C7H15-2	2	459.6	6.253	0	0	1
C7H15-3	2	459.6	6.253	0	0	1
C7H15-4	2	459.6	6.253	0	0	1
C6H13-1	2	489.224	5.349	0	0	0
C6H13-2	2	489.224	5.349	0	0	0
C6H13-3	2	489.224	5.349	0	0	0
C5H11-1	2	523.2	5.664	1.7	0	1
C5H11-2	2	523.2	5.664	1.7	0	1
C7H14-1	2	457.8	6.173	0.3	0	1
C6H12-1	2	485.857	5.328	0	0	0
C5H10-1	2	386.2	5.489	0.4	0	1
PC4H9	2	352	5.24	0	0	1
iC8H18	2	458.91	6.44	0	0	1
iC8H16	2	485.6	6.44	0.3	0	1
jC8H16	2	468.976	6.043	0	0	1
aC8H17	2	458.91	6.44	0	0	1
bC8H17	2	458.91	6.44	0	0	1
cC8H17	2	458.91	6.44	0	0	1
dC8H17	2	458.91	6.44	0	0	1
yC7H15	2	438.485	6.209	0	0	1
pC7H15	2	437.3	6.168	0	0	1
oC7H14	2	442.792	6.081	0	0	1
pC7H14	2	442.792	6.081	0	0	1
xC7H14	2	445.932	6.085	0	0	1
yC7H14	2	445.932	6.085	0	0	1
iC6H11	2	413.383	5.758	0	0	1
neoC5H11	2	361.592	5.564	0	0	1
xC7H15	2	437.3	6.168	0	0	1
IC4H10	2	335.7	5.208	0.1	0	1
IC4H9	2	352	5.24	0	0	1
TC4H9	2	352	5.24	0	0	1
IC4H8	2	344.5	5.089	0.5	0	1
IC4H7	2	355	4.65	0	0	1
IC4H7O	2	496	5.2	0	0	1
IC4H7-I1	2	380.022	4.633	0	0	0
IC4H7OH	2	502.2	5.356	1.8	0	1
IC4H6OH	2	502.2	5.356	1.8	0	1
CH3COCH2	2	435.5	4.86	0	0	1
IC3H5CHO	2	436.4	5.352	0	0	1
IC3H5CO	2	436.4	5.352	0	0	1
H2CC	2	209	4.1	0	0	2.5
C2H3OH	2	470.6	4.41	0	0	1.5
SC2H4OH	2	470.6	4.41	0	0	1.5
PC2H4OH	2	470.6	4.41	0	0	1.5
CH3O2	2	481.8	3.626	0	0	1
CH3O2H	2	481.8	3.626	0	0	1
C2H3OCH2	2	411	4.82	0	0	1
C2H3CO	2	443.2	4.12	0	0	1
CH3COCH3	2	435.5	4.86	0	0	1
IC3H5OH	2	459.5	5.036	1.7	0	1
C3H6OH2-1	2	487.9	4.82	0	0	1
C4H5-2	2	357	5.18	0	0	1
CH3CHCHCO	2	464.2	5.009	2.6	0	1
CH2CHCHCHO	1	357	5.18	0	0	1
C4H6-2	2	357	5.18	0	0	1
CH3CHCHCHO	2	464.2	5.009	2.6	0	1
C4H71-1	2	357.1	4.72	0	0	1
C4H71-3	2	357.1	4.72	0	0	1
NC3H7CO	2	464.2	5.009	2.6	0	1
C3H6CHO-1	2	464.2	5.009	2.6	0	1
SC4H9	2	352	5.24	0	0	1
C5H7	2	408	5.2	0	0	1
OC5H7O	2	496	5.2	0	0	1
C6H10	2	337.788	5.608	0	0	1
C6H9-A	2	346.876	5.564	0	0	1
C*CCCCOJ	2	489.1	5.429	0	0	1
CJCCOC*C	2	489.1	5.429	0	0	1
CJCCC(*O)C	2	489.1	5.429	0	0	1
C*CC(C)OCJ	2	489.1	5.429	0	0	1
CC*CCCOJ	2	489.1	5.429	0	0	1
Ccy(C*CCCO)	2	436.964	5.089	0	0	1
cy(OC*CCC)	2	436.964	5.089	0	0	1
C*CCCHO	2	436.964	5.089	0	0	1
Ccy(COCC*C)	2	485.732	5.408	0	0	1
CCJCCCHO	2	476	5.778	2.6	0	1
CCCCCJ(*O)	2	489.1	5.429	0	0	1
Ccy(COC*CC)	2	485.732	5.408	0	0	1
MTHF	2	492.45	5.45	0	0	1
CJcy(COCCC)	2	489.1	5.429	0	0	1
Ccy(CJOCCC)	2	489.1	5.429	0	0	1
Ccy(COCJCC)	2	489.1	5.429	0	0	1
Ccy(COCCJC)	2	489.1	5.429	0	0	1
Ccy(COCCCJ)	2	489.1	5.429	0	0	1
cy(OCJCCC)	2	440.598	5.113	0	0	1
CC*CCCOH	2	449.396	6.3	0	0	0
C*CCCCOH	2	449.396	6.3	0	0	0
cy(CCC)C*O	2	436.964	5.089	0	0	1
CCC*CCHO	2	426.204	5.83	0	0	0
cy(CCC)(C)C*O	2	434.267	6.02	0	0	0
cy(OCCJCC)	2	440.598	5.113	0	0	1
C*COCCJ	2	440.598	5.113	0	0	1
C*CCOCJ	2	440.598	5.113	0	0	1
C*CCCOJ	2	440.598	5.113	0	0	1
C*CCC(C)OH	2	442.855	6.22	0	0	0
C*CCOCC	2	388.842	5.72	0	0	0
C#CC*CCJ	2	408	5.2	0	0	1
C*CCJC*C	2	408	5.2	0	0	1
C*CCOCJC	2	489.1	5.429	0	0	1
C*CCC(C)OJ	2	489.1	5.429	0	0	1
C3H5CHCHO	2	482.348	5.386	0	0	1
Ccy(CCJC*CO)	2	427.283	6.068	0	0	0
DMTHF	2	440.095	6.46	0	0	0
DMTHF1J	2	439.001	6.5	0	0	0
DMTHF2J	2	439.001	6.5	0	0	0
DMTHF3J	2	439.001	6.5	0	0	0
OJC(C)CCC*C	2	456.707	6.59	0	0	0
C*COC(C)CCJ	2	406.205	6.09	0	0	0
O*C(C)CCCJC	2	437.621	6.31	0	0	0
C*C(C)OC(C)CJ	2	408.841	6.11	0	0	0
CYC(C)*CCC(C)O	2	450.238	6.33	0	0	0
OJC(C)CC*CC	2	466.061	6.66	0	0	0
CCJOC(C)C*C	2	406.205	6.09	0	0	0
CYC(C)*CCJC(C)O	2	449.166	6.37	0	0	0
O*C(C)CJC*CC	2	447.998	6.17	0	0	0
CH2CHOCHCH2	2	360.309	5.12	0	0	0
C4H72-1	2	380.039	4.697	0	0	1
O*C(C)CCJC*C	2	437.98	6.1	0	0	0
CCJOC*C	2	440.584	5.04	0	0	0
Ccy(COC*CCJ)	2	482.348	5.386	0	0	1
O*CCCJC*C	2	412.689	5.78	0	0	0
cy(CCC)(C)C(C)O	2	451.872	6.26	0	0	0
CCC*CC(C)O	2	451.18	6.16	0	0	0
CCC*CCJO	2	422.83	5.85	0	0	0
CCC*CC(O)CJ	2	447.999	6.17	0	0	0
CCCJCC(O)C	2	437.621	6.31	0	0	0
CCCCC(O)CJ	2	437.621	6.31	0	0	0
END
