TC3H6OH            2   487.900     4.820     0.000     0.000     1.000 ! NMM
AC3H4COC2H5        2   527.994     5.587     0.000     0.000     0.000    !FLAMEMASTER
AC3H4COCH3         2   482.331     5.306     0.000     0.000     0.000    !FLAMEMASTER
AC3H5CHCHO         2   435.2       4.662     2.7       0.0       1.000 !   WJP
AC3H5CHCOCH3       2   527.994     5.587     0.000     0.000     0.000    !FLAMEMASTER
AC3H5CHO           2   464.2       5.009     2.6       0.0       0.000 !   WJP
AC3H5CO            2   464.2       5.009     2.6       0.0       1.000 !   WJP
BAOJ               2   357.0       5.176     0.0       0.0       1.0 !  MIE 2005
BAOJ2*O	           2   357.0       5.176     0.0       0.0       1.0 !  MIE 2005
BAOJ2D	           2   357.0       5.176     0.0       0.0       1.0 !  MIE 2005
C2H                1   265.300     3.721     0.000     0.000     2.500 ! NMM
C2H2               1   265.300     3.721     0.000     0.000     2.500 ! NMM
C2H3               2   265.300     3.721     0.000     0.000     1.000 ! NMM
C2H3CHCHO          2   464.2       5.009     2.6       0.0       1.0 !   WJP
C2H3CHO            2   428.8       4.958     2.9       0.0       1.0 !   WJP
C2H3CO             2   443.200     4.120     0.000     0.000     1.000 ! NMM
C2H3COCH3          2   454.0       5.413     3.3       0.000     1.000 ! C2H5COCH3
C2H3O1,2           2   436.000     3.970     0.000     0.000     2.000 ! WJP
C2H4               2   238.400     3.496     0.000     0.000     1.500 ! NMM
C2H4O1,2           2   387.3       4.349     1.9       0.0       1.0 !   WJP
C2H4O2H            2   470.600     4.410     0.000     0.000     1.500 ! C2H5OH
C2H4OH             2   470.600     4.410     0.000     0.000     1.500 ! C2H5OH
C2H5               2   247.500     4.350     0.000     0.000     1.500 ! NMM
C2H5CHCO           2   436.950     5.016     0.000     0.000     0.000    !FLAMEMASTER
C2H5CHO            2   435.2       4.662     2.7       0.0       1.0 !   WJP
C2H5CO             2   424.600     4.820     0.000     0.000     1.000 ! NMM
C2H5COC2H3         2   476.7       5.714     2.7       0.0       1.0 !   WJP
C2H5COC2H4P        2   489.084     5.348     0.000     0.000     0.000    !FLAMEMASTER
C2H5COC2H4S	   2   489.084     5.348     0.000     0.000     0.000    !FLAMEMASTER
C2H5COC2H5 	   2   476.7       5.714     2.7       0.0       1.0 !   TCPC
