H                  0   145.000     2.050     0.000     0.000     0.000  
H2                 1    38.000     2.920     0.000     0.790   280.000  
O                  0    80.000     2.750     0.000     0.000     0.000   
O2                 1   107.400     3.458     0.000     1.600     3.800    
OH                 1    80.000     2.750     0.000     0.000     0.000  
H2O                2   572.400     2.605     1.844     0.000     4.000     
N2                 1    97.530     3.621     0.000     1.760     4.000
HO2                2   107.400     3.458     0.000     0.000     1.000 
H2O2               2   107.400     3.458     0.000     0.000     3.800    
AR                 0   136.500     3.330     0.000     0.000     0.000
CO                 1    98.100     3.650     0.000     1.950     1.800   
CO2                1   244.000     3.763     0.000     2.650     2.100  
HE                 0    10.200     2.576     0.000     0.000     0.000  
HCO                2   498.000     3.590     0.000     0.000     0.000
OHEX               1    80.000     2.750     0.000     0.000     0.000
N                  0    71.400     3.298     0.000     0.000     0.000 
NO                 1    97.530     3.621     0.000     1.760     4.000
NO2                2   200.000     3.500     0.000     0.000     1.000 
N2O                1   232.400     3.828     0.000     0.000     1.000 
NH3                2   481.000     2.920     1.470     0.000    10.000
HNO                2   116.700     3.492     0.000     0.000     1.000 
H2NO               2   116.700     3.492     0.000     0.000     1.000 
NNH                2    71.400     3.798     0.000     0.000     1.000  
NH2                2    80.000     2.650     0.000     2.260     4.000
NH                 1    80.000     2.650     0.000     0.000     4.000
N2H2               2    71.400     3.798     0.000     0.000     1.000 
N2H3               2   200.000     3.900     0.000     0.000     1.000 
N2H4               2   205.000     4.230     0.000     4.260     1.500
H2NN               2    71.400     3.798     0.000     0.000     1.000 
HNO2               2   350.000     3.950     1.639     0.000     1.000 ! = HONO
HONO2              2   400.000     4.200     0.200     0.000     1.000 ! = NO3
NO3                2   400.000     4.200     0.200     0.000     1.000 ! CJP
HON                2   116.700     3.492     0.000     0.000     1.000 ! = HNO
HONO               2   350.000     3.950     1.639     0.000     1.000 ! CJP
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM
  
!from San Diego 2016
CHCHO              2   436.000     3.970     0.000     0.000     2.000
CH3                1   144.000     3.800     0.000     0.000     0.000
CH4                2   141.400     3.746     0.000     2.600    13.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
T-CH2              1   144.000     3.800     0.000     0.000     0.000
S-CH2              1   144.000     3.800     0.000     0.000     0.000
C2H4               2   238.400     3.496     0.000     0.000     1.500 ! NMM
CH3O               2   417.000     3.690     1.700     0.000     2.000
C2H5               2   247.500     4.350     0.000     0.000     1.500 ! NMM
C2H6               2   247.500     4.350     0.000     0.000     1.500 ! NMM
CH                 1    80.000     2.750     0.000     0.000     0.000
C2H2               1   265.300     3.721     0.000     0.000     2.500 ! NMM
C2H4OOH            2   470.600     4.410     0.000     0.000     1.500
OC2H3OOH           2   470.600     4.410     0.000     0.000     1.500
C2H3               2   265.300     3.721     0.000     0.000     1.000 ! NMM 
CH2CHO             2   436.000     3.970     0.000     0.000     2.000
C2H4O              2   436.000     3.970     0.000     0.000     2.000 !=CH3HCO konnov
HCCO               2   150.000     2.500     0.000     0.000     1.000 ! *
CH2CO              2   436.000     3.970     0.000     0.000     2.000
C2H                1   265.300     3.721     0.000     0.000     2.500 ! NMM
CH2OH              2   417.000     3.690     1.700     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! SVE
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CO              2   436.000     3.970     0.000     0.000     2.000
C2H5OH             2   470.600     4.410     0.000     0.000     1.500 ! NMM  
CH2CH2OH           2   362.600     4.530     0.000     0.000     1.500 ! MI 
CH3CHOH            2   362.600     4.530     0.000     0.000     1.500 ! MI
CH3CH2O            2   470.600     4.410     0.000     0.000     1.500 ! NMM	!JLI_MV
C3H4               1   324.800     4.290     0.000     0.000     1.000 ! NMM
C3H3               1   324.800     4.290     0.000     0.000     1.000 ! NMM
C3H5               2   316.000     4.220     0.000     0.000     1.000
C3H6               2   307.800     4.140     0.000     0.000     1.000 ! NMM
C3H8               2   303.400     4.810     0.000     0.000     1.000 ! NMM
I-C3H7             2   303.400     4.810     0.000     0.000     1.000 ! NMM
N-C3H7             2   303.400     4.810     0.000     0.000     1.000 ! NMM
C3H6OOH            2   487.900     4.820     0.000     0.000     1.000 !adopted from MI
OC3H5OOH           2   487.900     4.820     0.000     0.000     1.000
C4H10              2   352.0   	   5.240     0.0       0.0       1.0 ! Ranzi
PC4H9              2   352.000     5.240     0.000     0.000     1.000 ! NMM
SC4H9              2   352.000     5.240     0.000     0.000     1.000 ! NMM
C4H8               2   355.000     4.650     0.000     0.000     1.000 ! NMM
SC4H9O2            2   496.000     5.200     0.000     0.000     1.000 ! WJP
C4H8OOH1-3         2   496.000     5.200     0.000     0.000     1.000 ! WJP
NC4KET13           2   476.000	   5.778     2.600     0.0       1.0 !  WJP

!from Konnov2019
CN                 1    75.000     3.856     0.000     0.000     1.000 ! Chemkin transport database
HCN                1   569.000     3.630     0.000     0.000     1.000 ! Chemkin transport database
HNC                1   569.000     3.630     0.000     0.000     1.000  !=HCN
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! Chemkin transport database
HCNH               1   569.000     3.630     0.000     0.000     1.000 !=H2CN
NCN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
HCNN               2   150.000     2.500     0.000     0.000     1.000 ! *
HNCN               2   150.000     2.500     0.000     0.000     1.000 !=HCNN
NCO                1   232.400     3.828     0.000     0.000     1.000  !(OIS)
