AR                   0.000      136.500    3.330      0.000      0.000      0.000      !! 
HE                   0.000      10.200     2.576      0.000      0.000      0.000      !! 
H2                   1.000      38.000     2.920      0.000      0.790      280.000    !! 
H                    0.000      145.000    2.050      0.000      0.000      0.000      !! 
O2                   1.000      107.400    3.458      0.000      1.600      3.800      !! 
O                    0.000      80.000     2.750      0.000      0.000      0.000      !! 
H2O                  2.000      572.400    2.605      1.844      0.000      4.000      !! 
OH                   1.000      80.000     2.750      0.000      0.000      0.000      !! 
OHV                  1.000      80.000     2.750      0.000      0.000      0.000      !! 
H2O2                 2.000      107.400    3.458      0.000      0.000      3.800      !! 
HO2                  2.000      107.400    3.458      0.000      0.000      1.000      !! 
CO                   1.000      98.100     3.650      0.000      1.950      1.800      !! 
CO2                  1.000      244.000    3.763      0.000      2.650      2.100      !! 
HOCO                 2.000      498.000    3.590      0.000      0.000      2.000      !! 
CH4                  2.000      141.400    3.746      0.000      2.600      13.000     !! 
CH3                  1.000      144.000    3.800      0.000      0.000      0.000      !! 
CH2                  1.000      144.000    3.800      0.000      0.000      0.000      !! 
CH2(S)               1.000      144.000    3.800      0.000      0.000      0.000      !! 
C                    0.000      71.400     3.298      0.000      0.000      0.000      !! 
CH                   1.000      80.000     2.750      0.000      0.000      0.000      !! 
CHV                  1.000      80.000     2.750      0.000      0.000      0.000      !! 
CH3O2H               2.000      481.800    3.626      0.000      0.000      1.000      !! 
CH3O2                2.000      481.800    3.626      0.000      0.000      1.000      !! 
CH2O2H               2.000      238.400    3.496      0.000      0.000      1.500      !! 
CH3OH                2.000      481.800    3.626      0.000      0.000      1.000      !! 
CH3O                 2.000      417.000    3.690      1.700      0.000      2.000      !! 
CH2OH                2.000      417.000    3.690      1.700      0.000      2.000      !! 
CH2O                 2.000      498.000    3.590      0.000      0.000      2.000      !! 
HCO                  2.000      498.000    3.590      0.000      0.000      0.000      !! 
HCOH                 2.000      498.000    3.590      0.000      0.000      1.000      !! 
HO2CHO               2.000      436.000    3.970      0.000      0.000      2.000      !! 
HOCH2O2H             2.000      481.800    3.626      1.700      0.000      1.000      !! 
HOCH2O2              2.000      481.800    3.626      1.700      0.000      1.000      !! 
OCH2O2H              2.000      481.800    3.626      1.700      0.000      1.000      !! 
HOCH2O               2.000      470.600    4.410      0.000      0.000      1.500      !! 
O2CHO                2.000      436.000    3.970      0.000      0.000      2.000      !! 
HOCHO                2.000      436.000    3.970      0.000      0.000      2.000      !! 
OCHO                 2.000      498.000    3.590      0.000      0.000      2.000      !! 
C2H6                 2.000      247.500    4.350      0.000      0.000      1.500      !! 
C2H5                 2.000      247.500    4.350      0.000      0.000      1.500      !! 
C2H5O2H              2.000      470.600    4.410      0.000      0.000      1.500      !! 
C2H5O2               2.000      470.600    4.410      0.000      0.000      1.500      !! 
C2H4                 2.000      238.400    3.496      0.000      0.000      1.500      !! 
C2H3                 2.000      265.300    3.721      0.000      0.000      1.000      !! 
CHOCHO               1.000      440.200    4.010      0.000      0.000      2.000      !! 
C2H3OOH              2.000      436.000    3.970      0.000      0.000      2.000      !! 
C2H3OO               2.000      436.000    3.970      0.000      0.000      2.000      !CH3CO2! 
CHCHO                2.000      436.000    3.970      0.000      0.000      2.000      !HCCOH! 
C2H2                 1.000      265.300    3.721      0.000      0.000      2.500      !! 
C2H                  1.000      265.300    3.721      0.000      0.000      2.500      !! 
H2CC                 2.000      209.000    4.100      0.000      0.000      2.500      !! 
C2H5OH               2.000      470.600    4.410      0.000      0.000      1.500      !! 
C2H5O                2.000      470.600    4.410      0.000      0.000      1.500      !! 
PC2H4OH              2.000      470.600    4.410      0.000      0.000      1.500      !! 
SC2H4OH              2.000      470.600    4.410      0.000      0.000      1.500      !! 
O2C2H4OH             2.000      523.200    5.664      1.700      0.000      1.000      !! 
C2H4O2H              2.000      470.600    4.410      0.000      0.000      1.500      !! 
C2H4O1-2             2.000      436.000    3.970      0.000      0.000      2.000      !! 
C2H3O1-2             2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH3CHO               2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH3CO                2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH2CHO               2.000      436.000    3.970      0.000      0.000      2.000      !! 
O2CH2CHO             2.000      275.049    5.428      0.000      0.000      1.000      !! 
HO2CH2CO             2.000      279.007    5.505      1.300      0.000      1.000      !! 
C2H3OH               2.000      470.600    4.410      0.000      0.000      1.500      !! 
C2H2OH               2.000      224.700    4.162      0.000      0.000      1.000      !! 
CH2CO                2.000      436.000    3.970      0.000      0.000      2.000      !! 
HCCO                 2.000      150.000    2.500      0.000      0.000      1.000      !! 
HCCOH                2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH3CO3H              2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH3CO3               2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH3CO2               2.000      436.000    3.970      0.000      0.000      2.000      !! 
CH3OCH3              2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH3OCH2              2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH3OCH2O2H           2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH3OCH2O2            2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH2OCH2O2H           2.000      395.000    4.037      1.300      0.000      1.000      !! 
O2CH2OCH2O2H         2.000      395.000    4.037      1.300      0.000      1.000      !! 
HO2CH2OCHO           2.000      395.000    4.037      1.300      0.000      1.000      !! 
OCH2OCHO             2.000      395.000    4.037      1.300      0.000      1.000      !! 
HOCH2OCO             2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH3OCH2OH            2.000      405.540    5.690      0.000      0.000      1.000      !\AUTHOR: KPS !\REF: DAMES, CNF, 2016 !\COMMENT: 
CH3OCH2O             2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH3OCHO              2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH3OCO               2.000      395.000    4.037      1.300      0.000      1.000      !! 
CH2OCHO              2.000      395.000    4.037      1.300      0.000      1.000      !! 


N                  0    71.400     3.298     0.000     0.000     0.000 ! *
NO                 1   139.320     3.339     0.200     1.760     4.000 ! CJP
NO2                2   333.590     3.852     0.400     0.000     1.000 ! CJP
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
N2                 1    97.530     3.621     0.000     1.760     4.000
NH3                2   481.000     2.920     1.470     0.000    10.000
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *
H2NO               2   116.700     3.492     0.000     0.000     1.000 ! JAM
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
NH2                2    80.000     2.650     0.000     2.260     4.000
NH                 1    80.000     2.650     0.000     0.000     4.000
N2H2               2    71.400     3.798     0.000     0.000     1.000 ! *
N2H3               2   200.000     3.900     0.000     0.000     1.000 ! *
N2H4               2   205.000     4.230     0.000     4.260     1.500
H2NN               2    71.400     3.798     0.000     0.000     1.000 ! = N2H2
HONO               2   350.000     3.950     1.639     0.000     1.000 ! CJP
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM
HNO2               2   350.000     3.950     1.639     0.000     1.000 ! = HONO
HONO2              2   400.000     4.200     0.200     0.000     1.000 ! = NO3
NO3                2   400.000     4.200     0.200     0.000     1.000 ! CJP
HON                2   116.700     3.492     0.000     0.000     1.000 ! = HNO
NH2OH              2   116.700     3.492     0.000     0.000     1.000 ! = NHOH
CN                 1    75.000     3.856     0.000     0.000     1.000 ! OIS
HCN                1   569.000     3.630     0.000     0.000     1.000 ! OIS
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
HNC                1   569.000     3.630     0.000     0.000     1.000 ! = HCN
